platform_id,nickname,make,model_family,generation,production_year_start,production_year_end,cab_style,bed_length_class,bed_length_floor_inches,bed_length_rail_inches,bed_width_at_rail_inches,bed_width_outer_inches,bed_depth_inches,rail_profile_shape,rail_cross_section_width_inches,rail_cross_section_height_inches,stake_pockets_present,stake_pocket_count_per_side,stake_pocket_length_inches,stake_pocket_width_inches,utility_track_system,cab_back_generation,cab_camera_present,tailgate_variant,notes,source_urls
FORD-F150-97-03-XC-SHORTB,Shortbed (F7) (1997–2003),Ford,F-150,,1997,2003,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-23-24-RC-SHORTB,SuperDuty (FS) (2023–2024),Ford,F-250,,2023,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-23-24-RC-LONGBE,SuperDuty (FS) (2023–2024),Ford,F-250,,2023,2024,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-17-22-RC-SHORTB,SuperDuty (FS) (2017–2022),Ford,F-250,,2017,2022,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-17-22-RC-LONGBE,SuperDuty (FS) (2017–2022),Ford,F-250,,2017,2022,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-08-16-RC-SHORTB,SuperDuty (F8) No Step (2008–2016),Ford,F-250,,2008,2016,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-08-16-RC-LONGBE,SuperDuty (F8) No Step (2008–2016),Ford,F-250,,2008,2016,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-99-07-RC-SHORTB,SuperDuty (F9) (1999–2007),Ford,F-250,,1999,2007,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-F250-99-07-RC-LONGBE,SuperDuty (F9) (1999–2007),Ford,F-250,,1999,2007,Regular Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-RNG-24-DC-VBED,Ranger (RA) (2024–2024),Ford,Ranger,,2024,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-RNG-19-23-DC-VBED,Ranger (RA) (2019–2023),Ford,Ranger,,2019,2023,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-RNG-19-23-DC-SHORTB,Ranger (RA) (2019–2023),Ford,Ranger,,2019,2023,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
FORD-RNG-93-11-XC-SHORTB,Ranger (RA) (1993–2011),Ford,Ranger,,1993,2011,Extended Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-22-24-DC-VBED,Tundra (TU) (2022–2024),Toyota,Tundra,,2022,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-22-24-DC-SHORTB,Tundra (TU) (2022–2024),Toyota,Tundra,,2022,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-22-24-DC-LONGBE,Tundra (TU) (2022–2024),Toyota,Tundra,,2022,2024,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-14-21-DC-VBED,Tundra (TU) (2014–2021),Toyota,Tundra,,2014,2021,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-14-21-DC-SHORTB,Tundra (TU) (2014–2021),Toyota,Tundra,,2014,2021,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
TOY-TUN-07-13-DC-VBED,Tundra (TU) (2007–2013),Toyota,Tundra,,2007,2013,Double Cab,,,,,,,,,,,,,,none,,,Standard,,data/sources/snugpro_2025-03-07.pdf
