year,make,model,cab_style,bed_length_label,platform_id
2015,Ford,F-250 Super Duty,,"80""",leer_8fsd
2016,Ford,F-250 Super Duty,,"80""",leer_8fsd
2008,Ford,F-250 Super Duty,,"65""",leer_65fsd
2009,Ford,F-250 Super Duty,,"65""",leer_65fsd
2010,Ford,F-250 Super Duty,,"65""",leer_65fsd
2011,Ford,F-250 Super Duty,,"65""",leer_65fsd
2012,Ford,F-250 Super Duty,,"65""",leer_65fsd
2013,Ford,F-250 Super Duty,,"65""",leer_65fsd
2014,Ford,F-250 Super Duty,,"65""",leer_65fsd
2015,Ford,F-250 Super Duty,,"65""",leer_65fsd
2016,Ford,F-250 Super Duty,,"65""",leer_65fsd
2008,Ford,F-250 Super Duty,,"80""",leer_8fsds
2009,Ford,F-250 Super Duty,,"80""",leer_8fsds
2010,Ford,F-250 Super Duty,,"80""",leer_8fsds
2011,Ford,F-250 Super Duty,,"80""",leer_8fsds
2012,Ford,F-250 Super Duty,,"80""",leer_8fsds
2013,Ford,F-250 Super Duty,,"80""",leer_8fsds
2014,Ford,F-250 Super Duty,,"80""",leer_8fsds
2015,Ford,F-250 Super Duty,,"80""",leer_8fsds
2016,Ford,F-250 Super Duty,,"80""",leer_8fsds
2008,Ford,F-250 Super Duty,,"65""",leer_65fsds
2009,Ford,F-250 Super Duty,,"65""",leer_65fsds
2010,Ford,F-250 Super Duty,,"65""",leer_65fsds
2011,Ford,F-250 Super Duty,,"65""",leer_65fsds
2012,Ford,F-250 Super Duty,,"65""",leer_65fsds
2013,Ford,F-250 Super Duty,,"65""",leer_65fsds
2014,Ford,F-250 Super Duty,,"65""",leer_65fsds
2015,Ford,F-250 Super Duty,,"65""",leer_65fsds
2016,Ford,F-250 Super Duty,,"65""",leer_65fsds
2024,Ford,Ranger,,"61""",leer_4afr24
2025,Ford,Ranger,,"61""",leer_4afr24
2019,Ford,Ranger,,"61""",leer_4afr19
2020,Ford,Ranger,,"61""",leer_4afr19
2021,Ford,Ranger,,"61""",leer_4afr19
2022,Ford,Ranger,,"61""",leer_4afr19
2023,Ford,Ranger,,"61""",leer_4afr19
2019,Ford,Ranger,,"61""",leer_5afr19
2020,Ford,Ranger,,"61""",leer_5afr19
2021,Ford,Ranger,,"61""",leer_5afr19
2022,Ford,Ranger,,"61""",leer_5afr19
2023,Ford,Ranger,,"61""",leer_5afr19
2007,Ford,F-150,,"56""",leer_56fst
2008,Ford,F-150,,"56""",leer_56fst
2009,Ford,F-150,,"56""",leer_56fst
2010,Ford,F-150,,"56""",leer_56fst
1993,Ford,Ranger,,"75""",leer_75r
1994,Ford,Ranger,,"75""",leer_75r
1995,Ford,Ranger,,"75""",leer_75r
1996,Ford,Ranger,,"75""",leer_75r
1997,Ford,Ranger,,"75""",leer_75r
1998,Ford,Ranger,,"75""",leer_75r
1999,Ford,Ranger,,"75""",leer_75r
2000,Ford,Ranger,,"75""",leer_75r
2001,Ford,Ranger,,"75""",leer_75r
2002,Ford,Ranger,,"75""",leer_75r
