fits_platform_id,topper_brand,topper_model_series,fit_type,wrap_type,has_skirted_sides,door_type,clamp_type_required,bed_size_class,camera_compatible,has_custom_fit,model_id_alias,fit_notes,confidence,verified_by,source_effective_date,topper_production_year_start,topper_production_year_end
leer_4afr24,LEER,100XR,OEM,X,True,windoor,**,FR,,True,,,100,manufacturer,2025-01-24,,
leer_4afr24,LEER,100R,OEM,X,True,windoor,**,FR,,True,,,100,manufacturer,2025-01-24,,
leer_4afr24,LEER,180,OEM,X,True,windoor,**,FR,,True,,,100,manufacturer,2025-01-24,,
leer_4afr24,LEER,700,OEM,X,True,,**,FR,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,100XL,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,100XR,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,100R,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,Legend,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,100S,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,180,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_4afr19,LEER,700,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_5afr19,LEER,100XL,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_5afr19,LEER,100XR,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_5afr19,LEER,100R,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_5afr19,LEER,Legend,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_5afr19,LEER,100S,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_5afr19,LEER,180,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_45fm22,LEER,100XQ_SPORT,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_45fm22,LEER,180,OEM,X,True,windoor,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_45fm22,LEER,180XL,OEM,X,True,,S,SC,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,100XQ_SPORT,aliased,X,,,S,SF,,True,64DR09,,80,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,100XL,aliased,X,,,S,SF,,True,64DR09,,80,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,100XR,OEM,X,False,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,Legend,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,100S,aliased,X,,,S,SF,,True,64DRQC09,,80,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,180XR,aliased,X,,,S,SF,,True,64DRQC09,,80,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,750_SPORT,aliased,X,,,S,SF,,True,64DR09,,80,manufacturer,2025-01-24,,
leer_64dr19_h,LEER,700,aliased,X,,,S,SF,,True,64DR09,,80,manufacturer,2025-01-24,,
leer_64dr19_d,LEER,100XQ_SPORT,aliased,X,,,S,SF,,True,64DR09-D,,80,manufacturer,2025-01-24,,
leer_64dr19_d,LEER,100XL,aliased,X,,,S,SF,,True,64DR09-D,,80,manufacturer,2025-01-24,,
leer_64dr19_d,LEER,100XR,aliased,X,,,S,SF,,True,64DR19-H,,80,manufacturer,2025-01-24,,
leer_64dr19_d,LEER,100R,aliased,X,,,S,SF,,True,64DR19-H,,80,manufacturer,2025-01-24,,
leer_80dr19_h,LEER,Legend,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,100XQ,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,Legend,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,100S,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,122,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,750_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_57dr19,LEER,700,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,100XL,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,100R,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_64dr19,LEER,Legend,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
